site_no,q.cfs,da.sq.mi,record.start,record.end,record.length,record.gap
11530500,135000,12099.99498317302,1951,2019,68,3
11532500,55100,613.9997454271268,1950,2019,69,1
14362000,3310,224.999906711895,1950,2019,69,1
14362250,57.91,15.999993366179199,1984,2019,35,1
14366000,4250,482.9997997415346,1950,2019,69,1
14369500,5880,697.9997105995675,1950,2019,69,24
14372500,2600,42.29998246183625,1950,1991,41,1
14375100,2280,83.89996521390218,1966,2019,53,18
14375500,3520,42.399982420374876,1955,1985,30,1
14377100,17800,379.99984244675596,1962,2019,57,1
14378200,58700,987.9995903615655,1961,1981,20,1
