DWRName,DWRCode,model.name,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,all.coeff.sign
San Francisco Bay,2,da.sq.mi + elev.ft + precip.in,0.9393259374634039,0.8786518749268077,0.2000582278865645,15.481507223895573,0.024904976873736988,4,4.297000486541473,1.4059990269170548,1.1355497721936203,0.12006988363533773,3,0
San Francisco Bay,2,da.sq.mi + relief.ft + precip.in,0.9654838742845828,0.9309677485691656,0.15089189097424077,27.971965400894753,0.010772910028573534,4,6.2713143457051075,-2.542628691410215,-2.8130779461336495,0.06830508828534648,3,0
San Francisco Bay,2,da.sq.mi + slope.pct + precip.in,0.9363310006344729,0.8726620012689459,0.2049363006109445,14.706230818218888,0.026746483688547814,4,4.128365316921522,1.7432693661569552,1.4728201114335207,0.12599666192429823,3,0
San Francisco Bay,2,da.sq.mi + elev.ft + slope.pct + precip.in,0.94839430648773,0.8451829194631901,0.22596923689959322,9.188853418491847,0.10054823942165769,5,4.8635955195192615,2.272808960961477,1.948269855293356,0.10212419204996896,2,0
San Francisco Bay,2,da.sq.mi + relief.ft + slope.pct + precip.in,0.9736729960009615,0.9210189880028844,0.16139914483829082,18.49190656172881,0.051960896858511615,5,7.219224408221152,-2.4384488164423033,-2.7629879221104243,0.05209936790906315,2,0
San Francisco Bay,2,da.sq.mi + precip.in.8,0.9615688211022676,0.9423532316534013,0.13788828346887017,50.041078555568575,0.001476955511469511,3,5.895265757662022,-3.7905315153240444,-4.0068909191027915,0.07605271487196597,4,0
San Francisco Bay,2,da.sq.mi + elev.ft.8 + precip.in.8,0.9615688211022676,0.9423532316534013,0.13788828346887028,50.041078555568475,0.0014769555114695163,3,5.895265757662016,-3.790531515324032,-4.006890919102779,0.07605271487196609,4,0
San Francisco Bay,2,da.sq.mi + relief.ft.8 + precip.in.8,0.9615688211022676,0.9423532316534013,0.1378882834688703,50.04107855556847,0.0014769555114695163,3,5.895265757662015,-3.79053151532403,-4.006890919102777,0.07605271487196612,4,0
San Francisco Bay,2,da.sq.mi + slope.pct.8 + precip.in.8,0.9615688211022676,0.9423532316534013,0.1378882834688702,50.041078555568554,0.001476955511469511,3,5.8952657576620195,-3.790531515324039,-4.006890919102786,0.076052714871966,4,0
San Francisco Bay,2,da.sq.mi + elev.ft.8 + slope.pct.8 + precip.in.8,0.9615688211022676,0.9423532316534013,0.13788828346887028,50.041078555568475,0.0014769555114695163,3,5.895265757662016,-3.790531515324032,-4.006890919102779,0.07605271487196609,4,0
San Francisco Bay,2,da.sq.mi + relief.ft.8 + slope.pct.8 + precip.in.8,0.9615688211022676,0.9423532316534013,0.1378882834688703,50.04107855556847,0.0014769555114695163,3,5.895265757662015,-3.79053151532403,-4.006890919102777,0.07605271487196612,4,0
San Joaquin and Tulare,5,da.sq.mi + precip.in,0.7518285602657078,0.745297732904279,0.30856854940022327,115.11995627170141,1.0013096646652047e-23,3,-17.677831506066468,43.355663012132936,52.833454422001026,7.236305775600811,76,1
