site_no,q.cfs,da.sq.mi,record.start,record.end,record.length,record.gap
11458500,0.2568,58.39997578655408,1956,2020,64,22
11459500,0.0122,17.59999270279712,1950,2020,70,1
11460000,0.0917,18.09999249549022,1952,2020,68,21
11460400,7.1,34.29998577874665,1984,2020,36,1
11460600,6.4757,81.69996612605253,1976,2020,44,1
11460750,4.643,31.09998710551082,1985,2020,35,1
11460800,0.052,40.09998337398662,1961,1984,23,1
11461000,0.227,99.99995853861999,1954,2020,66,1
11461500,51.57,92.19996177260764,1950,2020,70,1
11462000,30.751,104.99995646555098,1953,2011,58,3
11462500,129.9,361.99984990980437,1950,2020,70,1
11463000,138,502.99979144925857,1953,2020,67,1
11463170,0.77,13.099994568559218,1982,2020,38,1
11463200,3.3225,85.49996455052009,1959,2020,61,19
11463900,0.3303,43.69998188137694,1962,2020,58,33
11464000,127.6,792.9996712112566,1950,2020,70,1
11464500,0.4357,87.79996359690836,1950,1980,30,1
11465200,33.304,161.99993283256438,1961,2020,59,1
11465350,74.5,216.9999100288054,1989,2020,31,17
11465680,0.0899,40.799983083756956,2000,2020,20,1
11465700,0.00787,6.779997188918435,2000,2020,20,1
11465750,0.078,79.59996699674151,2000,2020,20,1
11466320,1.1783,77.5999678259691,2000,2020,20,1
11467000,124.86,1337.9994452467356,1950,2020,70,1
11467200,0.477,62.79997396225335,1961,2020,59,39
11467600,10.43,98.4999591605407,1964,1983,19,1
11468000,6.114,302.99987437201855,1952,2020,68,1
11468500,3.77,105.9999560509372,1953,2020,67,1
11471500,5.502,348.99985529978375,1950,2019,69,1
11472150,5.973,527.9997810839136,1968,1994,26,1
11472200,1.037,160.9999332471782,1958,1994,36,1
11472900,3,161.99993283256438,1960,2005,45,28
11473900,9.514,744.9996911127189,1967,2020,53,1
11474500,1.543,247.9998971757776,1955,2005,50,27
11475000,26.57,2106.9991264087234,1957,2020,63,1
11475500,1.93,43.89998179845418,1950,1970,20,1
11475560,0.66,6.4999973050103,1969,2020,51,1
11475800,17.43,247.9998971757776,1967,2020,53,6
11476500,35.6,536.9997773523894,1950,2020,70,1
11476600,0.9786,28.099988349352223,1962,2018,56,1
11477000,92,3112.9987093072405,1950,2020,70,1
11478500,8.2,221.99990795573638,1952,2020,68,1
11480390,0.221,93.79996110922555,1982,2020,38,1
11480500,20.14,142.9999407102266,1955,1994,39,1
11481000,28.571,484.9997989123069,1952,2020,68,1
11481200,4.3,40.499983208141096,1957,2020,63,1
11481500,3.6,67.69997193064573,1955,2020,65,16
11482500,14,276.99988515197737,1955,2020,65,1
11489500,11,18.59999228818332,1954,1979,25,1
11507500,265.6,3809.9984203214217,1963,2020,57,1
11509500,323,3919.998374713904,1950,2020,70,1
11516900,2.79,48.19998001561484,1959,1978,19,1
11517000,23.67,672.9997209649125,2003,2020,17,1
11517500,17.43,792.9996712112566,1950,2020,70,1
11519500,32.14,652.9997292571886,1950,2020,70,1
11520500,1057,6939.997122580227,1953,2020,67,1
11521500,41,119.99995024634399,1958,2020,62,2
11522500,154.3,750.9996886250361,1950,2020,70,1
11523000,1691,8474.996486148044,1950,2020,70,1
11523200,31.1,148.9999382225438,1959,2020,61,1
11525500,267.6,718.9997018926778,1950,2020,70,1
11525530,1.236,22.299990754112258,2004,2020,16,1
11525600,9.46,30.799987229894956,1977,2005,28,1
11525655,300,809.9996641628219,1982,2020,38,13
11525854,327,930.9996139945522,2004,2020,16,1
11526250,346,1056.9995617532134,2004,2020,16,1
11526500,21.29,150.9999373933162,1958,1980,22,1
11527000,370,1438.9994033707417,1958,2020,62,1
11528500,23.9,377.99984327598355,1955,1974,19,1
11528700,54.1,763.9996832350568,1967,2020,53,1
11530000,533,2852.9988171068285,1950,2020,70,1
11530500,2551,12099.99498317302,1952,2020,68,4
11532500,229,613.9997454271268,1950,2020,70,1
14362000,97.5,224.999906711895,1950,2020,70,1
14362250,0.00508,15.999993366179199,1985,2020,35,1
14366000,74.76,482.9997997415346,1950,2020,70,1
14369500,178,697.9997105995675,1950,2020,70,25
14372500,8.49,42.29998246183625,1950,1991,41,1
14375100,22.9,83.89996521390218,1967,2020,53,19
14375500,4.33,42.399982420374876,1956,1985,29,1
14377100,29.4,379.99984244675596,1963,2020,57,1
14378200,164,987.9995903615655,1962,1981,19,1
